Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Thailand,THA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,144044991708.439,156372737078.559,169012952179.513,182959758879.242,197591095927.872,213636116013.334,225710710647.58,219495596601.21,202739225305.456,212009086618.729,221454615181.944,229082063572.247,243168402250.2,260650370324.981,277043563911.345,288645146658.334,302984491694.587,319452158416.903,324964940636.733,322720673508.111,346967938038.265,349882927003.633,375224234353.836,385308369004.167,389101609925.933,401296238228.084
Indonesia,IDN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,270259316976.432,288571594908.579,307321553098.991,327286415424.346,351963716547.306,380895160090.965,410674256274.695,429975448804.309,373533751951.818,376488874890.68,395012382598.141,409404526223.005,427825582121.437,448277224152.721,470829486223.722,497631790440.734,525006275301.556,558318040165.831,591893632242.425,619291626022.031,657835433773.518,698422460479.197,740537688618.414,781691320690.699,820828013230.588,860854232686.214
Viet Nam,VNM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,45057981854.8071,47743817832.1663,51871770980.839,56059239339.3434,61014304826.6384,66835362482.4846,73077797034.1306,79035160538.4626,83591107164.2471,87581401291.5701,93525828108.839,99317782863.096,105595482130.707,112880581486.059,121387725604.567,130549157968.493,139658819217.11,149615800998.365,158086705343.275,166620063722.291,177322478338.404,188694468366.268,199081239731.688,210137237901.389,223632762207.56,239258328381.741
Malaysia,MYS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,74627553679.509,81751102498.1732,89014784403.7144,97822746879.1401,106834219205.048,117335045630.591,129071719045.017,138523307832.505,128328802476.716,136205126470.557,148271359064.948,149038923296.259,157073594223.932,166165798103.902,177437551536.374,186898768708.901,197336779111.682,209766600383.972,219902039818.778,216573759299.08,232654030399.227,244970531973.676,258378881826.473,270506469604.101,286755041078.03,301355266964.947
Philippines,PHL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,107109108274.656,106641694750.798,107087061464.657,109423583334.641,114209405305.412,119491847406.027,126494485342.267,133055010097.102,132370986797.974,136800717252.924,142796015298.758,147150196392.071,152618672925.332,160382249192.659,170918125634.499,179365762742.902,188901594325.143,201216640002.155,209958471382.781,212999348346.029,228621785476.226,237442546246.759,253818843995.329,270952964514.551,288153024779.43,306445871246.718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
